,target,date,US_midi,UK_midi,NL_midi,BE_midi,FR_midi,SP_midi,PT_midi,SU_midi,COL_MIDI
125,501,1969,0,1,0,0,0,0,0,0,1
126,501,1970,0,1,0,0,0,0,0,0,1
127,501,1971,0,1,0,0,0,0,0,0,1
128,501,1972,0,1,0,0,0,0,0,0,1
129,501,1973,0,1,0,0,0,0,0,0,1
130,510,1964,0,1,0,0,0,0,0,0,1
131,510,1966,0,0,0,0,0,0,1,0,1
132,510,1967,0,0,0,0,0,0,1,0,1
133,510,1972,0,0,0,0,0,0,1,0,1
134,510,1973,0,0,0,0,0,0,1,0,1
135,511,1964,1,1,0,0,0,0,0,0,1
136,517,1967,1,0,0,0,0,0,0,0,0
137,517,1990,0,0,0,1,1,0,0,0,1
138,520,1976,0,0,0,0,1,0,0,0,1
139,530,1977,0,0,0,0,0,0,0,1,0
140,530,1978,0,0,0,0,0,0,0,1,0
141,530,1979,0,0,0,0,0,0,0,1,0
142,540,1975,0,0,0,0,0,0,0,1,0
143,540,1976,0,0,0,0,0,0,0,1,0
144,540,1977,0,0,0,0,0,0,0,1,0
145,540,1978,0,0,0,0,0,0,0,1,0
146,540,1979,0,0,0,0,0,0,0,1,0
147,540,1980,0,0,0,0,0,0,0,1,0
148,540,1981,0,0,0,0,0,0,0,1,0
149,540,1982,0,0,0,0,0,0,0,1,0
150,540,1983,0,0,0,0,0,0,0,1,0
151,540,1984,0,0,0,0,0,0,0,1,0
152,540,1985,0,0,0,0,0,0,0,1,0
153,540,1986,0,0,0,0,0,0,0,1,0
154,540,1987,0,0,0,0,0,0,0,1,0
155,540,1988,0,0,0,0,0,0,0,1,0
156,551,1965,0,1,0,0,0,0,0,0,1
157,551,1966,0,1,0,0,0,0,1,0,1
158,551,1967,0,0,0,0,0,0,1,0,1
159,551,1968,0,0,0,0,0,0,1,0,1
160,551,1969,0,0,0,0,0,0,1,0,1
161,551,1970,0,0,0,0,0,0,1,0,1
162,551,1971,0,0,0,0,0,0,1,0,1
163,551,1972,0,0,0,0,0,0,1,0,1
164,581,1989,0,0,0,0,1,0,0,0,1
165,590,1968,0,1,0,0,0,0,0,0,1
166,600,1956,0,0,0,0,1,0,0,0,1
167,600,1957,0,0,0,0,1,0,0,0,1
168,600,1958,0,0,0,0,1,0,0,0,1
169,600,1959,0,0,0,0,1,0,0,0,1
170,600,1960,0,0,0,0,1,0,0,0,1
171,600,1961,0,0,0,0,1,0,0,0,1
172,600,1962,0,0,0,0,1,0,0,0,1
173,600,1976,0,0,0,0,1,0,0,0,1
174,600,1977,0,0,0,0,1,0,0,0,1
175,600,1978,0,0,0,0,1,0,0,0,1
176,616,1956,0,0,0,0,1,0,0,0,1
177,616,1957,0,0,0,0,1,0,0,0,1
178,616,1958,0,0,0,0,1,0,0,0,1
179,616,1959,0,0,0,0,1,0,0,0,1
180,616,1960,0,0,0,0,1,0,0,0,1
181,616,1961,0,0,0,0,1,0,0,0,1
182,616,1962,0,0,0,0,1,0,0,0,1
183,620,1957,0,0,0,0,1,0,0,0,1
184,620,1958,0,1,0,0,0,0,0,0,1
185,620,1986,1,0,0,0,0,0,0,0,0
186,625,1970,0,0,0,0,0,0,0,1,0
187,625,1971,0,0,0,0,0,0,0,1,0
188,625,1984,1,0,0,0,0,0,0,0,0
189,625,1985,1,0,0,0,0,0,0,0,0
190,630,1946,0,0,0,0,0,0,0,1,0
191,630,1980,1,0,0,0,0,0,0,0,0
192,640,1957,1,0,0,0,0,0,0,0,0
193,645,1946,0,1,0,0,0,0,0,0,1
194,645,1947,0,1,0,0,0,0,0,0,1
195,645,1973,0,0,0,0,0,0,0,1,0
196,645,1974,0,0,0,0,0,0,0,1,0
197,645,1975,0,0,0,0,0,0,0,1,0
198,645,1991,1,1,0,0,1,0,0,0,1
199,651,1956,1,1,0,0,1,0,0,0,1
200,651,1967,0,0,0,0,0,0,0,1,0
201,651,1984,1,1,0,0,1,0,0,0,1
202,652,1946,0,0,0,0,1,0,0,0,1
203,652,1973,0,0,0,0,0,0,0,1,0
204,652,1983,0,0,0,0,0,0,0,1,0
205,652,1984,0,0,0,0,0,0,0,1,0
206,652,1985,0,0,0,0,0,0,0,1,0
207,652,1986,0,0,0,0,0,0,0,1,0
208,652,1987,0,0,0,0,0,0,0,1,0
209,652,1988,0,0,0,0,0,0,0,1,0
210,660,1957,1,0,0,0,0,0,0,0,0
211,660,1958,1,0,0,0,0,0,0,0,0
212,660,1976,1,0,0,0,0,0,0,0,0
213,660,1982,1,1,0,0,1,0,0,0,1
214,660,1983,1,1,0,0,1,0,0,0,1
215,660,1984,1,1,0,0,1,0,0,0,1
216,660,1989,1,0,0,0,1,0,0,0,1
217,663,1948,0,1,0,0,0,0,0,0,1
218,663,1949,0,1,0,0,0,0,0,0,1
219,663,1950,0,1,0,0,0,0,0,0,1
220,663,1951,0,1,0,0,0,0,0,0,1
221,663,1952,0,1,0,0,0,0,0,0,1
222,663,1953,0,1,0,0,0,0,0,0,1
223,663,1954,0,1,0,0,0,0,0,0,1
224,663,1955,0,1,0,0,0,0,0,0,1
225,663,1956,1,1,0,0,0,0,0,0,1
226,663,1957,0,1,0,0,0,0,0,0,1
227,663,1958,1,1,0,0,0,0,0,0,1
228,666,1956,1,0,0,0,0,0,0,0,0
229,670,1963,1,0,0,0,0,0,0,0,0
230,670,1984,1,0,0,0,0,0,0,0,0
231,670,1990,1,1,1,1,1,1,1,1,1
232,670,1991,1,1,1,1,1,1,1,1,1
233,678,1954,0,1,0,0,0,0,0,0,1
234,678,1958,0,1,0,0,0,0,0,0,1
235,678,1959,0,1,0,0,0,0,0,0,1
236,678,1963,0,1,0,0,0,0,0,0,1
237,678,1964,0,1,0,0,0,0,0,0,1
238,678,1965,0,1,0,0,0,0,0,0,1
239,678,1966,0,1,0,0,0,0,0,0,1
240,678,1967,0,0,0,0,0,0,0,1,0
241,678,1968,0,0,0,0,0,0,0,1,0
242,680,1984,0,0,0,0,0,0,0,1,0
243,690,1961,0,1,0,0,0,0,0,0,1
244,690,1990,1,1,0,0,1,0,0,0,1
245,690,1991,1,1,1,0,1,0,0,0,1
246,698,1952,0,1,0,0,0,0,0,0,1
247,698,1953,0,1,0,0,0,0,0,0,1
248,698,1954,0,1,0,0,0,0,0,0,1
249,698,1955,0,1,0,0,0,0,0,0,1
250,698,1956,0,1,0,0,0,0,0,0,1
251,698,1957,0,1,0,0,0,0,0,0,1
252,698,1958,0,1,0,0,0,0,0,0,1
253,698,1959,0,1,0,0,0,0,0,0,1
254,698,1960,0,1,0,0,0,0,0,0,1
255,698,1961,0,1,0,0,0,0,0,0,1
256,698,1962,0,1,0,0,0,0,0,0,1
257,698,1963,0,1,0,0,0,0,0,0,1
258,698,1964,0,1,0,0,0,0,0,0,1
259,698,1965,0,1,0,0,0,0,0,0,1
260,698,1966,0,1,0,0,0,0,0,0,1
261,698,1967,0,1,0,0,0,0,0,0,1
262,698,1968,0,1,0,0,0,0,0,0,1
263,698,1969,0,1,0,0,0,0,0,0,1
264,698,1970,0,1,0,0,0,0,0,0,1
265,698,1971,0,1,0,0,0,0,0,0,1
266,698,1972,0,1,0,0,0,0,0,0,1
267,698,1973,0,1,0,0,0,0,0,1,1
268,698,1974,0,1,0,0,0,0,0,0,1
269,698,1975,0,1,0,0,0,0,0,0,1
270,698,1976,0,1,0,0,0,0,0,0,1
271,698,1977,0,1,0,0,0,0,0,0,1
272,700,1979,0,0,0,0,0,0,0,1,0
273,700,1980,0,0,0,0,0,0,0,1,0
274,700,1981,0,0,0,0,0,0,0,1,0
275,700,1982,0,0,0,0,0,0,0,1,0
276,700,1983,0,0,0,0,0,0,0,1,0
277,700,1984,0,0,0,0,0,0,0,1,0
278,700,1985,0,0,0,0,0,0,0,1,0
279,700,1986,0,0,0,0,0,0,0,1,0
280,700,1987,0,0,0,0,0,0,0,1,0
281,700,1988,0,0,0,0,0,0,0,1,0
282,700,1991,0,0,0,0,0,0,0,1,0
283,710,1946,0,0,0,0,1,0,0,0,1
284,710,1952,0,0,0,0,0,0,1,0,1
285,710,1955,1,0,0,0,0,0,0,0,0
286,710,1958,1,0,0,0,0,0,0,0,0
287,710,1969,0,0,0,0,0,0,0,1,0
